908|Cómo funciona 360 Merchandising|So funktioniert 360 Merchandising|Come funziona 360 Merchandising
909|De la necesidad al pedido, paso a paso|Vom Bedarf zur Bestellung, Schritt für Schritt|Dall'esigenza all'ordine, passo dopo passo
910|Descubre cómo buscar, elegir, personalizar y comprar productos promocionales en 360 Merchandising.|Erfahren Sie, wie Sie bei 360 Merchandising Werbeartikel suchen, auswählen, personalisieren und bestellen.|Scopri come cercare, scegliere, personalizzare e ordinare prodotti promozionali su 360 Merchandising.
911|Empieza directamente por el catálogo o describe lo que necesitas. Ambos recorridos llevan a la página del producto, donde confirmas la configuración exacta, la disponibilidad y el precio antes de comprar.|Beginnen Sie direkt im Katalog oder beschreiben Sie Ihren Bedarf. Beide Wege führen zur Produktseite, wo Sie vor der Bestellung die genaue Konfiguration, Verfügbarkeit und den Preis bestätigen.|Inizia direttamente dal catalogo o descrivi ciò che ti serve. Entrambi i percorsi portano alla pagina del prodotto, dove confermi configurazione esatta, disponibilità e prezzo prima di ordinare.
912|1. Define tu necesidad|1. Bedarf festlegen|1. Definisci la tua esigenza
913|2. Compara productos|2. Produkte vergleichen|2. Confronta i prodotti
914|3. Configura cantidad y personalización|3. Menge und Personalisierung festlegen|3. Imposta quantità e personalizzazione
915|4. Revisa y completa el pedido|4. Bestellung prüfen und abschließen|4. Rivedi e completa l'ordine
916|1. Empieza por un producto o una necesidad|1. Mit Produkt oder Bedarf beginnen|1. Inizia da un prodotto o da un'esigenza
917|Explora categorías, utiliza la búsqueda o describe el contexto, cantidad, presupuesto y plazo con 360 Smart Merch.|Durchsuchen Sie Kategorien, nutzen Sie die Suche oder beschreiben Sie Kontext, Menge, Budget und Termin mit 360 Smart Merch.|Esplora le categorie, usa la ricerca o descrivi contesto, quantità, budget e scadenza con 360 Smart Merch.
918|2. Compara el producto y sus variantes|2. Produkt und Varianten vergleichen|2. Confronta il prodotto e le sue varianti
919|Consulta imágenes, especificaciones, colores, tallas, precios y disponibilidad de la referencia seleccionada.|Prüfen Sie Bilder, Spezifikationen, Farben, Größen, Preise und Verfügbarkeit der gewählten Referenz.|Controlla immagini, specifiche, colori, taglie, prezzi e disponibilità del riferimento selezionato.
920|3. Confirma la personalización|3. Personalisierung bestätigen|3. Conferma la personalizzazione
921|Las opciones disponibles dependen de la variante exacta, componente, ubicación, técnica, área y cantidad. Utiliza siempre la configuración indicada para ese producto.|Die verfügbaren Optionen hängen von der genauen Variante, Komponente, Position, Technik, Fläche und Menge ab. Verwenden Sie stets die für das Produkt angezeigte Konfiguration.|Le opzioni disponibili dipendono da variante esatta, componente, posizione, tecnica, area e quantità. Usa sempre la configurazione indicata per quel prodotto.
922|4. Revisa cantidades y precios|4. Mengen und Preise prüfen|4. Verifica quantità e prezzi
923|Comprueba el precio del producto y todos los costes de personalización antes de añadir el artículo al carrito.|Prüfen Sie den Produktpreis und sämtliche Personalisierungskosten, bevor Sie den Artikel in den Warenkorb legen.|Controlla il prezzo del prodotto e tutti i costi di personalizzazione prima di aggiungere l'articolo al carrello.
924|5. Finaliza la compra|5. Kauf abschließen|5. Completa l'acquisto
925|Introduce los datos de facturación y entrega, selecciona una opción de envío disponible y revisa el importe final antes de pagar.|Geben Sie Rechnungs- und Lieferdaten ein, wählen Sie eine verfügbare Versandoption und prüfen Sie den Endbetrag vor der Zahlung.|Inserisci i dati di fatturazione e consegna, seleziona un'opzione di spedizione disponibile e verifica l'importo finale prima del pagamento.
926|6. Sigue tu pedido|6. Bestellung verfolgen|6. Segui il tuo ordine
927|Los clientes con sesión iniciada pueden ver sus pedidos y mantener sus datos actualizados en el área de cliente.|Angemeldete Kunden können ihre Bestellungen einsehen und ihre Kontodaten im Kundenbereich aktuell halten.|I clienti che hanno effettuato l'accesso possono consultare gli ordini e aggiornare i dati del proprio account nell'area cliente.
928|360 Smart Merch|360 Smart Merch|360 Smart Merch
929|/smart-merch|/smart-merch|/smart-merch
930|Describe lo que necesitas con tus propias palabras.|Beschreiben Sie Ihren Bedarf in Ihren eigenen Worten.|Descrivi le tue esigenze con parole tue.
931|/personalizacao|/personalizacao|/personalizacao
932|Comprende las técnicas, áreas y ubicaciones.|Verstehen Sie Techniken, Flächen und Positionen.|Comprendi tecniche, aree e posizioni.
933|Entregas y plazos|Lieferung und Lieferzeiten|Consegne e tempi
934|/entregas-e-prazos|/entregas-e-prazos|/entregas-e-prazos
935|Descubre qué afecta a la disponibilidad y la entrega.|Erfahren Sie, was Verfügbarkeit und Lieferung beeinflusst.|Scopri cosa influisce sulla disponibilità e sulla consegna.
936|Empezar con Smart Merch|Mit Smart Merch starten|Inizia con Smart Merch
937|Busca describiendo lo que necesitas.|Suchen Sie, indem Sie Ihren Bedarf beschreiben.|Cerca descrivendo ciò che ti serve.
938|qualidade|qualidade|qualidade
939|Información clara antes de elegir, personalizar y comprar|Klare Informationen vor Auswahl, Personalisierung und Kauf|Informazioni chiare prima di scegliere, personalizzare e acquistare
940|Descubre cómo 360 Merchandising presenta de forma transparente la información del catálogo, personalización, precios y stock.|Erfahren Sie, wie 360 Merchandising Informationen zu Katalog, Personalisierung, Preisen und Bestand transparent darstellt.|Scopri come 360 Merchandising presenta in modo trasparente le informazioni su catalogo, personalizzazione, prezzi e disponibilità.
941|En un catálogo con muchas referencias y configuraciones, la calidad de la información importa tanto como la variedad. Mostramos lo disponible para cada producto sin convertir los datos del catálogo en promesas sin fundamento.|In einem Katalog mit vielen Referenzen und Konfigurationen ist die Informationsqualität ebenso wichtig wie die Auswahl. Wir zeigen die verfügbaren Angaben je Produkt, ohne unbelegte Versprechen daraus abzuleiten.|In un catalogo con molti riferimenti e configurazioni, la qualità delle informazioni conta quanto la varietà. Mostriamo i dati disponibili per ogni prodotto senza trasformarli in promesse non supportate.
942|Datos específicos de cada referencia|Referenzbezogene Produktdaten|Dati specifici per riferimento
943|Personalización específica de cada configuración|Konfigurationsbezogene Personalisierung|Personalizzazione specifica per configurazione
944|Stock y precios actualizados regularmente|Regelmäßig aktualisierte Bestände und Preise|Disponibilità e prezzi aggiornati regolarmente
945|Orientación editorial separada de los datos comerciales|Redaktionelle Beratung getrennt von Geschäftsdaten|Indicazioni editoriali separate dai dati commerciali
946|Información del producto|Produktinformationen|Informazioni sul prodotto
947|Nombres, materiales, dimensiones, colores y variantes se basan en los datos disponibles de cada referencia. La información ausente nunca se presenta como confirmada.|Namen, Materialien, Maße, Farben und Varianten beruhen auf den verfügbaren Daten der jeweiligen Referenz. Fehlende Informationen werden niemals als bestätigt dargestellt.|Nomi, materiali, dimensioni, colori e varianti si basano sui dati disponibili per ogni riferimento. Le informazioni mancanti non vengono mai presentate come confermate.
948|Personalización específica del producto|Produktspezifische Personalisierung|Personalizzazione specifica del prodotto
949|Una técnica no está disponible automáticamente para todas las variantes o áreas. Las opciones dependen de la referencia, componente, ubicación, área, técnica y cantidad seleccionadas.|Eine Technik ist nicht automatisch für jede Variante oder Fläche verfügbar. Die Optionen hängen von Referenz, Komponente, Position, Fläche, Technik und Menge ab.|Una tecnica non è automaticamente disponibile per ogni variante o area. Le opzioni dipendono da riferimento, componente, posizione, area, tecnica e quantità selezionati.
950|Precio y disponibilidad|Preis und Verfügbarkeit|Prezzo e disponibilità
951|Los precios y el stock pueden actualizarse. Confirma la información durante la compra, especialmente para productos personalizados y cantidades específicas.|Preise und Bestände können aktualisiert werden. Prüfen Sie die Angaben während der Bestellung, besonders bei personalisierten Produkten und bestimmten Mengen.|Prezzi e disponibilità possono essere aggiornati. Verifica le informazioni durante l'acquisto, soprattutto per prodotti personalizzati e quantità specifiche.
952|Imágenes y representación visual|Bilder und visuelle Darstellung|Immagini e rappresentazione visiva
953|Las imágenes ayudan a identificar productos y áreas de personalización; la configuración comercial se determina por los datos de la referencia seleccionada.|Bilder helfen bei der Identifizierung von Produkten und Personalisierungsflächen. Die kaufmännische Konfiguration richtet sich nach den Daten der gewählten Referenz.|Le immagini aiutano a identificare prodotti e aree di personalizzazione; la configurazione commerciale è determinata dai dati del riferimento selezionato.
954|Contenidos editoriales responsables|Verantwortungsvolle redaktionelle Inhalte|Contenuti editoriali responsabili
955|Las guías y comparaciones ayudan a decidir, pero no sustituyen la página del producto. Confirma siempre las afirmaciones específicas antes de comprar.|Ratgeber und Vergleiche unterstützen Entscheidungen, ersetzen aber nicht die Produktseite. Prüfen Sie produktspezifische Aussagen immer vor dem Kauf.|Guide e confronti aiutano a decidere, ma non sostituiscono la pagina del prodotto. Verifica sempre le affermazioni specifiche prima dell'acquisto.
956|Descubre cómo distinguimos las orientaciones de los datos verificables.|Erfahren Sie, wie wir Beratung und überprüfbare Daten unterscheiden.|Scopri come distinguiamo le indicazioni dai dati verificabili.
957|/sustentabilidade|/sustentabilidade|/sustentabilidade
958|Consulta cómo comunicamos los materiales y la información medioambiental.|Erfahren Sie, wie wir Materialien und Umweltinformationen kommunizieren.|Scopri come comunichiamo materiali e informazioni ambientali.
959|Comprende la relación entre técnica y configuración del producto.|Verstehen Sie den Zusammenhang zwischen Technik und Produktkonfiguration.|Comprendi il rapporto tra tecnica e configurazione del prodotto.
960|Explorar guías|Ratgeber durchsuchen|Esplora le guide
961|/guias|/guias|/guias
962|Explora criterios prácticos de selección.|Entdecken Sie praktische Auswahlkriterien.|Esplora criteri pratici di scelta.
963|entregas-e-prazos|entregas-e-prazos|entregas-e-prazos
964|Entrega, stock y plazos|Lieferung, Bestand und Lieferzeiten|Consegna, disponibilità e tempi
965|El plazo depende del producto, la personalización y la entrega|Die Lieferzeit hängt von Produkt, Personalisierung und Versand ab|I tempi dipendono dal prodotto, dalla personalizzazione e dalla consegna
966|Comprende los factores que afectan al stock, producción, personalización y entrega en 360 Merchandising.|Verstehen Sie die Faktoren für Bestand, Produktion, Personalisierung und Lieferung bei 360 Merchandising.|Comprendi i fattori che influiscono su disponibilità, produzione, personalizzazione e consegna in 360 Merchandising.
967|No hay un único plazo para todo el catálogo. La disponibilidad depende del producto y la variante; los pedidos personalizados también pueden requerir preparación de archivos, validación, producción y envío.|Es gibt keine einheitliche Lieferzeit für den gesamten Katalog. Die Verfügbarkeit hängt von Produkt und Variante ab. Personalisierte Bestellungen können zusätzlich Dateivorbereitung, Freigabe, Produktion und Versand erfordern.|Non esiste un unico tempo per tutto il catalogo. La disponibilità dipende da prodotto e variante; gli ordini personalizzati possono richiedere anche preparazione dei file, verifica, produzione e spedizione.
968|El stock es específico de cada producto y variante|Der Bestand ist produkt- und variantenspezifisch|La disponibilità è specifica per ogni prodotto e variante
969|La personalización puede añadir tiempo de producción|Personalisierung kann die Produktionszeit verlängern|La personalizzazione può aggiungere tempi di produzione
970|El envío es una etapa independiente|Der Versand ist ein eigener Schritt|La spedizione è una fase separata
971|Confirma siempre la configuración final antes de comprar|Bestätigen Sie vor der Bestellung immer die endgültige Konfiguration|Conferma sempre la configurazione finale prima di ordinare
